path,bytes,sha256,reference_status,consumers,dimensions,provenance
ios/Nudge/Assets.xcassets/oatmeal_bowl_blueberries.imageset/oatmeal_bowl_blueberries.png,1410303,b646831699da1ef99f27bbfc494ad1eadf7c0d0d45b82824c0f52c48133468cf,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; web/src/sano/fixtures.ts; web/src/sano/lifeLibrary.ts; web/src/privia/Personal.tsx; web/src/sano/screens/shared.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/open_folder_documents.imageset/open_folder_documents.png,1301705,b6d5df7ffd54e9c6370e6b221a0b879516afaf0ee88bfb6ec97a9811786b2383,no static token match; dynamic/persisted references may exist,,792x694 RGBA,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/pastel_gradient_glow_bg.imageset/pastel_gradient_glow_bg.png,2169459,96824c5ca5951277fc3c00a3758b78754c3ed347ba93228d6b054406e28e2f99,source token matches,web/src/sano/screens/Onboarding.tsx,1024x1536 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/pilates_ring_and_mat.imageset/pilates_ring_and_mat.png,1374398,f7ccf6f93c6a4257e7c997a4e69d31af8e96fc4d762c57eb6b7aa33b853055be,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/recap_dawn.imageset/recap_dawn.jpg,161901,0655e767464661f6be32eb57692bd622af69d38603ff58f843ea8cf2cfc69fac,source token matches,ios/Nudge/Views/You/RecapPlayerView.swift,1024x1536 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/recap_garden.imageset/recap_garden.jpg,220409,4db65d87312e6af37bca400c24b04b369fab029a85e7cd048ad20fccbf4e46f5,source token matches,ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/You/RecapPlayerView.swift; web/src/sano/fixtures.ts; web/src/sano/screens/Journeys.tsx; web/src/sano/screens/Recap.tsx,1024x1536 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/recap_path.imageset/recap_path.jpg,236498,3b93b9dbf7dab2202fcba5b8ff16b57cd067d9c648ddbfce8ab5ddffbec00340,source token matches,ios/Nudge/Views/You/RecapPlayerView.swift; ios/Nudge/Views/You/StoryTimelineView.swift; web/src/sano/screens/You.tsx; web/src/sano/screens/Recap.tsx,1024x1536 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/resistance_band_clay.imageset/resistance_band_clay.png,1476165,2efc448a1daa0aab8fa4c475b1090eae54787f0163195720c1303b72682d83d6,source token matches,ios/Nudge/Models/LifeModels.swift,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/soft_editorial_3d.imageset/soft_editorial_3d.png,1236961,58385d62177cf3d19082cf48ca90490eb4fcf6b5cfcd19f2e888b5097e2cc0a7,source token matches,ios/Nudge/Models/LifeModels.swift; web/src/sano/lifeLibrary.ts; web/src/privia/Personal.tsx,1024x1024 RGB,Not established by packaging; see handoff family notes
ios/Nudge/Assets.xcassets/soft_editorial_studio.imageset/soft_editorial_studio.png,1695489,8788a9dfa7a84dc3b24fb736caa500450b712afbc7b75bea7f64d640f32ad3ce,source token matches,ios/Nudge/Models/LifeModels.swift; ios/Nudge/ViewModels/AppModel.swift; ios/Nudge/Views/Life/LifeCatalogView.swift; web/src/sano/lifeLibrary.ts,1024x1024 RGB,Not established by packaging; see handoff family notes
